"Model","Method","AIC","BIC","LogLik","RSS","MAE","RMSE","MAPE","Skewness","Kurtosis","Convergence","Time_sec"
"ARIMA(1,1,1)","PMM2",5079.09613407288,5089.35633109313,-2537.54806703644,4253.71931872591,1.32112868265898,1.84545387777444,1.70836732482133,-0.749491238091088,5.74875204208127,TRUE,0.00200000000000244
"ARIMA(2,1,2)","CSS-ML",5101.25167707487,5126.89816481951,-2545.62583853743,4317.44292545685,1.33158572252294,1.85922556892336,1.72828476871539,-0.697315327983086,5.47234602852449,TRUE,0.0229999999999997
"ARIMA(0,1,1)","PMM2",5123.66661384156,5128.79671235168,-2560.83330692078,4415.31838939072,1.34476850178296,1.88018158105401,1.73872330053554,-0.762784381252039,5.91169673501112,TRUE,0.0790000000000006
"ARIMA(1,1,0)","PMM2",5123.80140846369,5128.93150697382,-2560.90070423185,4415.79492525186,1.34501412022825,1.88028304030292,1.73902553467147,-0.762380281900546,5.90584066241325,TRUE,0.00100000000000122
"ARIMA(0,1,1)","CSS-ML",5122.40438625519,5132.66298135305,-2559.2021931276,4414.74737160373,1.34518699257198,1.88005999844717,1.73929930181579,-0.758025621135442,5.85896919190387,TRUE,0.0249999999999986
"ARIMA(1,1,0)","CSS-ML",5122.48062608757,5132.73922118543,-2559.24031304379,4415.01752409651,1.34539729551075,1.88011752100539,1.73957301906334,-0.757021999555847,5.84729518722591,TRUE,0.00100000000000122
"ARIMA(2,1,1)","CSS-ML",5112.96521731404,5133.48240750976,-2552.48260865702,4367.31030956859,1.33629438850969,1.86993196777481,1.72925556681354,-0.688267005292693,5.31408851035503,TRUE,0.00799999999999912
"ARIMA(1,1,2)","CSS-ML",5113.23419469912,5133.75138489484,-2552.61709734956,4368.25922913316,1.33620285496726,1.87013510409076,1.72920237270011,-0.688836315602841,5.3344077589144,TRUE,0.0100000000000016
"ARIMA(1,1,2)","PMM2",5119.50298989009,5134.89328542047,-2556.75149494505,4386.55341115232,1.33874056845389,1.8740470567247,1.73142927445504,-0.7405630763538,5.71138177275833,TRUE,0.0119999999999969
"ARIMA(2,1,1)","PMM2",5119.57976900755,5134.97006453792,-2556.78988450377,4386.82307172206,1.33863054342575,1.87410465876249,1.73125960075743,-0.739745833317604,5.70433469657373,TRUE,0.00900000000000034
"ARIMA(1,1,1)","CSS-ML",5123.88889784135,5139.27679048814,-2558.94444892068,4412.92270091711,1.34396931443013,1.87967143205606,1.73780846920855,-0.760937720913149,5.89706080942395,TRUE,0.00199999999999889
"ARIMA(2,1,2)","PMM2",5122.94566806777,5143.46606210827,-2557.47283403389,4391.62309981693,1.34509345525429,1.87512969390085,1.74133179297052,-0.707723615215807,5.50458943153423,TRUE,0.0240000000000009
