"model","distribution","sample_size","method","parameter","bias","variance","mse","rmse","successes","replicates","relative_efficiency","variance_reduction"
"ARIMA(1,1,0)","Gaussian",100,"CSS","phi1",-0.0159566216851265,0.00553997624130783,0.00579182002878943,0.0761040079679739,2000,2000,1,NA
"ARIMA(1,1,0)","Gaussian",100,"OLS","phi1",-0.0159562510958936,0.00553996226579318,0.0057917942336955,0.0761038384951475,2000,2000,1.00000445373107,0
"ARIMA(1,1,0)","Gaussian",100,"PMM2","phi1",-0.0136726511721408,0.00592607052038756,0.0061100488752024,0.0781668016180936,2000,2000,0.947917135703367,-6.96951055025106
"ARIMA(1,1,0)","Gaussian",100,"M-EST","phi1",-0.0157417697621024,0.00568285104549123,0.00592781293521152,0.0769922914012274,2000,2000,0.97705850236699,-2.57923741792107
"ARIMA(1,1,0)","Gaussian",200,"CSS","phi1",-0.00690589814399709,0.00278505626204924,0.00283135516309349,0.0532104798239359,2000,2000,1,NA
"ARIMA(1,1,0)","Gaussian",200,"OLS","phi1",-0.00690629692017232,0.00278505351608159,0.00283135792647312,0.0532105057904275,2000,2000,0.999999024009077,0
"ARIMA(1,1,0)","Gaussian",200,"PMM2","phi1",-0.00636210467512555,0.00287390675405975,0.00291294617657997,0.0539717164501924,2000,2000,0.971990209039056,-3.1903601659752
"ARIMA(1,1,0)","Gaussian",200,"M-EST","phi1",-0.00694116840486946,0.00293457651826806,0.00298128904883369,0.0546011817530874,2000,2000,0.949708370008988,-5.36876585398038
"ARIMA(1,1,0)","Gaussian",500,"CSS","phi1",-0.00275512835678486,0.00110164834763319,0.00110868825572173,0.0332969706688421,2000,2000,1,NA
"ARIMA(1,1,0)","Gaussian",500,"OLS","phi1",-0.00275510995998158,0.00110164918166102,0.00110868898796177,0.0332969816644358,2000,2000,0.999999339544225,0
"ARIMA(1,1,0)","Gaussian",500,"PMM2","phi1",-0.00275358464131287,0.00112793714146422,0.00113495540127037,0.03368909914602,2000,2000,0.976856231073719,-2.38623694737099
"ARIMA(1,1,0)","Gaussian",500,"M-EST","phi1",-0.00251557807632094,0.00117092057918506,0.00117666325195354,0.0343025254457093,2000,2000,0.942230713741631,-6.28797249407496
"ARIMA(1,1,0)","Gaussian",1000,"CSS","phi1",-0.00100296374759883,0.000497223494426729,0.000497980818958514,0.0223154838387724,2000,2000,1,NA
