"distribution","sample_size","method","bias_sim","variance_sim","mse_sim","rmse_sim","re_sim","target_bias","target_variance","target_mse","target_rmse","target_re","target_vr","bias_diff","variance_ratio","mse_ratio","rmse_ratio"
"Chi-squared",100,"CSS",-0.0110279115773196,0.00526749861555701,0.0053864797000064,0.0733926406392794,1,-0.0016,0.0202,0.0202,0.1421,1,NA,-0.00942791157731957,0.260767258195892,0.266657410891406,0.516485859530467
"Chi-squared",100,"M-EST",-0.00499514035377171,0.0045235796872917,0.00454626932460194,0.0674260285394442,1.18481315456999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chi-squared",100,"OLS",-0.0110275342054273,0.00526749696503949,0.00538646972720884,0.0733925726978476,1.00000185145338,-0.0013,0.0205,0.0205,0.1432,0.99,0,-0.00972753420542726,0.256951071465341,0.262754620839456,0.512517965767092
"Chi-squared",100,"PMM2",0.00330849589003687,0.00302161483342809,0.00303105017106578,0.0550549740810563,1.77710014549591,-8e-04,0.013,0.013,0.114,1.58,36.6,0.00410849589003687,0.2324319102637,0.233157705466598,0.482938369132072
"Chi-squared",200,"CSS",-0.00658482291361356,0.00263862391975606,0.00268066450059983,0.0517751339988593,1,-7e-04,0.0099,0.0099,0.0995,1,NA,-0.00588482291361356,0.266527668662228,0.270774191979781,0.520353105516174
"Chi-squared",200,"M-EST",-0.00358364192344009,0.0021877113854035,0.00219946001914624,0.0468984010297391,1.21878300913166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chi-squared",200,"OLS",-0.00658481377965984,0.002638622121123,0.00268066258257524,0.0517751154762135,1.00000071550392,-5e-04,0.01,0.01,0.1,0.99,0,-0.00608481377965985,0.2638622121123,0.268066258257524,0.517751154762135
"Chi-squared",200,"PMM2",0.000652100623905537,0.00146259643618119,0.0014622903731868,0.0382399055070328,1.83319575219374,-3e-04,0.0058,0.0058,0.0762,1.72,42,0.000952100623905537,0.252171799341585,0.252119029859793,0.501836030276021
"Chi-squared",500,"CSS",-0.00266261678704009,0.00107069705681985,0.00107725123644607,0.0328215057004713,1,-2e-04,0.0039,0.0039,0.0625,1,NA,-0.00246261678704009,0.274537706876886,0.276218265755403,0.525144091207541
"Chi-squared",500,"M-EST",-0.00117170144475477,0.000841932143768521,0.000842884061972278,0.0290324656543718,1.27805386890979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chi-squared",500,"OLS",-0.00266281733347627,0.00107069665513953,0.00107725190296343,0.0328215158541379,0.999999381279945,-2e-04,0.004,0.004,0.0632,0.98,0,-0.00246281733347627,0.267674163784883,0.269312975740857,0.519327782502182
"Chi-squared",500,"PMM2",3.6313774190687e-05,0.000573246861795021,0.000572961557054319,0.0239366154051553,1.88014575006459,-1e-04,0.0021,0.0021,0.0458,1.9,47.5,0.000136313774190687,0.272974696092867,0.272838836692533,0.522633524130029
"Chi-squared",1000,"CSS",-0.000437315272751776,0.000501267110694947,0.000501207721787382,0.0223876689672548,1,0,0.0019,0.0019,0.0436,1,NA,-0.000437315272751776,0.263824795102604,0.263793537782832,0.513478646037953
"Chi-squared",1000,"M-EST",-0.000320483177645841,0.00039622693371941,0.000396131529719704,0.0199030532763117,1.26525581576914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chi-squared",1000,"OLS",-0.000437610894593078,0.000501268159550192,0.000501209028765484,0.0223876981569228,0.999997392349245,0,0.002,0.002,0.0447,0.95,0,-0.000437610894593078,0.250634079775096,0.250604514382742,0.500843359215275
"Chi-squared",1000,"PMM2",0.000408500701014325,0.000275620648394768,0.0002756497108933,0.0166027019154504,1.81827769803608,0,0.0011,0.0011,0.0332,1.82,45,0.000408500701014325,0.250564225813426,0.250590646266636,0.500081382995494
"Gamma",100,"CSS",-0.0152534495463454,0.00542556416074324,0.00565551910172578,0.0752031854493264,1,-0.0015,0.0195,0.0195,0.1396,1,NA,-0.0137534495463454,0.278234059525295,0.290026620601322,0.538704766828986
"Gamma",100,"M-EST",-0.0106892072911932,0.00487256562641208,0.00498438849611297,0.0706002018135428,1.13464652808187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gamma",100,"OLS",-0.0152532217979135,0.00542554123478272,0.00565548923938169,0.0752029869046548,1.00000528024064,-0.0012,0.0198,0.0198,0.1407,0.98,0,-0.0140532217979135,0.274017234079935,0.285630769665742,0.534491733508563
"Gamma",100,"PMM2",-0.00243446096496071,0.00351827915773646,0.00352244661834751,0.0593502031870786,1.60556559530744,-9e-04,0.0142,0.0142,0.1192,1.39,28.3,-0.00153446096496071,0.247766137868765,0.248059621010388,0.497904389153344
"Gamma",200,"CSS",-0.00559173023632874,0.00266462898464917,0.00269456411719271,0.0519091910666378,1,-7e-04,0.0096,0.0096,0.098,1,NA,-0.00489173023632874,0.277565519234288,0.280683762207574,0.529685623128957
"Gamma",200,"M-EST",-0.00377833238757355,0.00234265170713403,0.00235575617691145,0.0485361326942254,1.14382131037239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gamma",200,"OLS",-0.00559160824612654,0.00266462942296266,0.00269456319102934,0.051909182145641,1.00000034371559,-5e-04,0.0097,0.0097,0.0985,0.99,0,-0.00509160824612654,0.274704064222955,0.277790019693746,0.526996773052193
"Gamma",200,"PMM2",-4.06097310257155e-05,0.0016326911348746,0.00163187643845742,0.0403964904225283,1.65120596982197,-4e-04,0.0067,0.0067,0.0819,1.45,30.9,0.000359390268974285,0.243685244011135,0.243563647530958,0.493241641300712
"Gamma",500,"CSS",-0.00308898894725096,0.00105444933972012,0.0010634639677665,0.0326107952642449,1,-2e-04,0.0038,0.0038,0.0616,1,NA,-0.00288898894725096,0.2774866683474,0.27985893888592,0.529396027016963
"Gamma",500,"M-EST",-0.00205664458898222,0.000888702074777024,0.000892487510705025,0.029874529464161,1.19157294080946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gamma",500,"OLS",-0.00308907789024585,0.00105445732446023,0.00106347249801,0.0326109260526285,0.999991978877194,-2e-04,0.0038,0.0038,0.0616,1,0,-0.00288907789024585,0.277488769594797,0.279861183686843,0.529398150205008
"Gamma",500,"PMM2",-0.000320612719443547,0.000609521475230207,0.00060931950700846,0.0246843980483313,1.74533057867739,-1e-04,0.0024,0.0024,0.049,1.58,36.8,-0.000220612719443547,0.253967281345919,0.253883127920192,0.503763225476148
"Gamma",1000,"CSS",-0.00142906039906281,0.00049749205899673,0.000499285526591401,0.0223446979525659,1,0,0.0019,0.0019,0.0436,1,NA,-0.00142906039906281,0.261837925787752,0.262781856100737,0.512493072306556
"Gamma",1000,"M-EST",-0.000603219147499891,0.000424323808825859,0.000424475520261356,0.0206028036990444,1.17624103807914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gamma",1000,"OLS",-0.00142930682617921,0.000497489708343918,0.000499283881493109,0.022344661140709,1.00000329491568,0,0.0019,0.0019,0.0436,1,0,-0.00142930682617921,0.261836688602062,0.262780990259531,0.512492227997912
"Gamma",1000,"PMM2",0.000196319872729001,0.000306955718363751,0.000306840781996997,0.0175168713529842,1.62718111765302,0,0.0012,0.0012,0.0346,1.58,36.8,0.000196319872729001,0.255796431969793,0.255700651664165,0.506267958178733
"Gaussian",100,"CSS",-0.0159566216851265,0.00553997624130783,0.00579182002878943,0.0761040079679739,1,-0.0012,0.018,0.018,0.1342,1,NA,-0.0147566216851265,0.307776457850435,0.321767779377191,0.567093949090715
"Gaussian",100,"M-EST",-0.0157417697621024,0.00568285104549123,0.00592781293521152,0.0769922914012274,0.97705850236699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gaussian",100,"OLS",-0.0159562510958936,0.00553996226579318,0.0057917942336955,0.0761038384951475,1.00000445373107,-8e-04,0.0182,0.0182,0.1349,1,0,-0.0151562510958936,0.304393531087537,0.318230452400851,0.564150025909174
"Gaussian",100,"PMM2",-0.0136726511721408,0.00592607052038756,0.0061100488752024,0.0781668016180936,0.947917135703367,-0.001,0.0181,0.0181,0.1346,1,0.5,-0.0126726511721408,0.327407211071136,0.337571761060906,0.580734038767411
"Gaussian",200,"CSS",-0.00690589814399709,0.00278505626204924,0.00283135516309349,0.0532104798239359,1,-5e-04,0.0088,0.0088,0.0938,1,NA,-0.00640589814399709,0.31648366614196,0.321744904896987,0.567275904306353
"Gaussian",200,"M-EST",-0.00694116840486946,0.00293457651826806,0.00298128904883369,0.0546011817530874,0.949708370008988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gaussian",200,"OLS",-0.00690629692017232,0.00278505351608159,0.00283135792647312,0.0532105057904275,0.999999024009077,-3e-04,0.0089,0.0089,0.0943,0.99,0,-0.00660629692017232,0.312927361357482,0.318130104098104,0.564268354087249
"Gaussian",200,"PMM2",-0.00636210467512555,0.00287390675405975,0.00291294617657997,0.0539717164501924,0.971990209039056,-4e-04,0.0088,0.0088,0.0938,1.01,1.1,-0.00596210467512555,0.326580312961335,0.331016610974997,0.575391433370922
"Gaussian",500,"CSS",-0.00275512835678486,0.00110164834763319,0.00110868825572173,0.0332969706688421,1,-1e-04,0.0034,0.0034,0.0583,1,NA,-0.00265512835678486,0.324014219892114,0.326084781094626,0.571131572364358
"Gaussian",500,"M-EST",-0.00251557807632094,0.00117092057918506,0.00117666325195354,0.0343025254457093,0.942230713741631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gaussian",500,"OLS",-0.00275510995998158,0.00110164918166102,0.00110868898796177,0.0332969816644358,0.999999339544225,-2e-04,0.0035,0.0035,0.0592,0.97,0,-0.00255510995998158,0.314756909046005,0.316768282274792,0.562449014601956
"Gaussian",500,"PMM2",-0.00275358464131287,0.00112793714146422,0.00113495540127037,0.03368909914602,0.976856231073719,-1e-04,0.0034,0.0034,0.0583,1.03,2.9,-0.00265358464131287,0.331746218077712,0.333810412138343,0.577857618285077
"Gaussian",1000,"CSS",-0.00100296374759883,0.000497223494426729,0.000497980818958514,0.0223154838387724,1,0,0.0017,0.0017,0.0412,1,NA,-0.00100296374759883,0.292484408486311,0.292929893505008,0.541637957251758
"Gaussian",1000,"M-EST",-0.00110313475695521,0.000525322393203936,0.000526276638299337,0.0229407200911248,0.946233943744376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gaussian",1000,"OLS",-0.00100337846072934,0.000497222213467294,0.000497980370696016,0.0223154737950153,1.00000090016098,0,0.0017,0.0017,0.0412,1,0,-0.00100337846072934,0.292483654980761,0.292929629821186,0.541637713471246
"Gaussian",1000,"PMM2",-0.000970573191872268,0.000503806997979496,0.000504497106801288,0.022461013040406,0.98708359720021,0,0.0017,0.0017,0.0412,1,0,-0.000970573191872268,0.296357057634998,0.296763004000758,0.54517021942733
"Lognormal",100,"CSS",-0.0119504655150909,0.00508771434862275,0.00522798411747581,0.0723048000998261,1,-0.0018,0.021,0.021,0.1449,1,NA,-0.0101504655150909,0.242272111839178,0.248951624641705,0.498997930295556
"Lognormal",100,"M-EST",-0.00635590408347285,0.00435834513994233,0.00439656348409067,0.0663065870339491,1.18910693235608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lognormal",100,"OLS",-0.0119499806874758,0.00508770053588209,0.00522795872404518,0.0723046244997178,1.00000485723625,-0.0015,0.0213,0.0213,0.146,0.99,0,-0.0104499806874758,0.238859180088361,0.245444071551417,0.495237154107656
"Lognormal",100,"PMM2",0.00080237485997989,0.00297266286691889,0.00297182034090135,0.0545144048935816,1.75918579112025,-0.001,0.0138,0.0138,0.1175,1.54,35.2,0.00180237485997989,0.215410352675282,0.215349300065316,0.463952382073035
"Lognormal",200,"CSS",-0.00533009646381499,0.00239369281672212,0.00242090589862733,0.0492027021476192,1,-8e-04,0.0103,0.0103,0.1015,1,NA,-0.00453009646381499,0.232397360846808,0.235039407633721,0.48475568618344
"Lognormal",200,"M-EST",-0.00206124959913938,0.00199879461661249,0.00200204396921413,0.0447442059848438,1.20921714800181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lognormal",200,"OLS",-0.00533001634234511,0.00239367696947805,0.00242088920520298,0.0492025325080222,1.00000689557552,-6e-04,0.0104,0.0104,0.102,0.99,0,-0.00473001634234511,0.230161247065198,0.232777808192594,0.482377769686492
"Lognormal",200,"PMM2",0.00114632489766584,0.0014017674464502,0.00140238062349799,0.037448372775035,1.72628304902617,-4e-04,0.0065,0.0065,0.0806,1.6,37.5,0.00154632489766584,0.215656530223108,0.215750865153536,0.464620009615819
"Lognormal",500,"CSS",-0.00311661994614456,0.0010096816426681,0.00101889012173547,0.0319200582978082,1,-2e-04,0.004,0.004,0.0632,1,NA,-0.00291661994614456,0.252420410667025,0.254722530433868,0.505064213572914
"Lognormal",500,"M-EST",-0.00205991600710859,0.000800505053494096,0.00080434805492369,0.0283610305687873,1.26672789907118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lognormal",500,"OLS",-0.00311628776493959,0.00100968219938126,0.00101888860771549,0.0319200345819908,1.00000148595242,-2e-04,0.0041,0.0041,0.064,0.98,0,-0.00291628776493959,0.246263951068601,0.248509416515972,0.498750540343605
"Lognormal",500,"PMM2",-0.000509853582543446,0.000594142372448565,0.000594105251937973,0.0243742743879274,1.7149993513975,-1e-04,0.0024,0.0024,0.049,1.71,41.5,-0.000409853582543446,0.247559321853569,0.247543854974156,0.497434171182192
"Lognormal",1000,"CSS",-0.00108124450013485,0.0005014729090015,0.00050239126221607,0.0224140862453965,1,0,0.002,0.002,0.0447,1,NA,-0.00108124450013485,0.25073645450075,0.251195631108035,0.501433696765021
"Lognormal",1000,"M-EST",-0.000307717435189355,0.000395495259734022,0.000395392202124075,0.0198844713815599,1.27061499826549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lognormal",1000,"OLS",-0.00108125663711637,0.00050147780679073,0.000502396183802643,0.0224141960329306,0.999990203773972,0,0.002,0.002,0.0447,1,0,-0.00108125663711637,0.250738903395365,0.251198091901321,0.501436152861983
"Lognormal",1000,"PMM2",0.000143383873365781,0.000289398850220542,0.000289274709730573,0.0170080777788254,1.73672721920278,0,0.0012,0.0012,0.0346,1.67,40,0.000143383873365781,0.241165708517118,0.241062258108811,0.491562941584548
